Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Ranibizumab;RANIBIZUMAB 2,3MG 0,23ML 1 UNITA' USO INTRAVITREALE;LUCENTIS*1 flaconcino intravitreale 0,23 ml 10 mg/ml + 1 ago filtro;1105,20;669,66;-;NOVARTIS EUROPHARM LTD  ;037608054;BJB;
Ranibizumab;RANIBIZUMAB 2,3MG 0,23ML 1 UNITA' USO INTRAVITREALE;XIMLUCI*1 flaconcino intravitreale 0,23 ml 10 mg/ml;737,17;446,65;-;STADA ARZNEIMITTEL AG;050443011;BJB;
Ranibizumab;RANIBIZUMAB 2,3MG 0,23ML 1 UNITA' USO INTRAVITREALE;XIMLUCI*1 flaconcino intravitreale 0,23 ml 10 mg/ml + 1 ago;737,17;446,65;-;STADA ARZNEIMITTEL AG;050443023;BJB;
Ranibizumab;RANIBIZUMAB 1,65MG 0,165ML 1 UNITA' USO INTRAVITREALE;LUCENTIS*1 siringa preriempita 0,165 ml 10 mg/ml;1105,20;669,66;-;NOVARTIS EUROPHARM LTD;037608041;QUR;
Ravulizumab;RAVULIZUMAB 100MG/ML 11ML 1 UNITA' USO PARENTERALE;ULTOMIRIS*1 flaconcino EV 11 ml 100 mg/ml;27406,55;16606,00;-;ALEXION EUROPE Sas;048059036;LSV;
Ravulizumab;RAVULIZUMAB 100MG/ML 3ML 1 UNITA' USO PARENTERALE;ULTOMIRIS*1 flaconcino EV 3 ml 100 mg/ml;7474,51;4528,91;-;ALEXION EUROPE Sas;048059024;LSW;
Remdesivir;REMDESIVIR 100MG POLVERE USO PARENTERALE;VEKLURY*1 flaconcino EV 100 mg polvere;685,16;415,15;-;GILEAD SCIENCES IRELAND UC;048854020;MAM;
Retinolo Palmitato/Ergocalciferolo/Tocoferolo Alfa/Fitomenadione;RETINOLO PALMITATO+ERGOCALCIFEROLO+TOCOFEROLO ALFA+FITOMENADIONE 690+10+6,4+200MCG 10 UNITA' USO PARENTERALE;VITALIPID*BB 10 fiale EV 10 ml;41,79;19,00;-;FRESENIUS KABI ITALIA Srl;027983028;BJC;
Retinolo Palmitato/Ergocalciferolo/Tocoferolo Alfa/Fitomenadione;RETINOLO PALMITATO+ERGOCALCIFEROLO+TOCOFEROLO ALFA+FITOMENADIONE 990+5+9,1+150MCG 10 UNITA' USO PARENTERALE;VITALIPID*AD 10 fiale EV 10 ml;42,74;19,43;-;FRESENIUS KABI ITALIA Srl;027983016;BJD;
Ribociclib;RIBOCICLIB 200MG 63 UNITA' USO ORALE;KISQALI*63 cpr riv 200 mg;7524,01;4558,90;-;NOVARTIS EUROPHARM LTD;045618055;KGD;
Ribociclib;RIBOCICLIB 200MG 42 UNITA' USO ORALE;KISQALI*42 cpr riv 200 mg;5016,01;3039,27;-;NOVARTIS EUROPHARM LTD;045618030;KGE;
Rilpivirina;RILPIVIRINA 25MG 30 UNITA' USO ORALE;EDURANT*30 cpr riv 25 mg flacone;407,31;246,80;-;JANSSEN CILAG INTERNAT.N.V.;041664018;BJE;
Rilpivirina;RILPIVIRINA 900MG 3ML 1 UNITA' USO PARENTERALE;REKAMBYS*1 flaconcino IM 900 mg 3 ml + 1 siringa + 1 adattatore per flaconcino + 1 ago;811,97;491,98;-;JANSSEN CILAG INTERNAT.N.V.;049280023;LZF;
Ripretinib;RIPRETINIB 50MG 90 UNITA' USO ORALE;QINLOCK*90 cpr 50 mg flacone;32023,95;19403,75;-;DECIPHERA PHARMACEUTICALS BV;049792029;MPJ;
Risankizumab;RISANKIZUMAB 75MG 0,83ML 2 UNITA' USO PARENTERALE;SKYRIZI*SC 2 siringhe preriempite 75 mg 0,83 ml + 2 tamponcini imbevuti di alcool;5330,79;3230,00;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;047821018;KTU;
Risankizumab;RISANKIZUMAB 150MG 1ML 1 UNITA' USO PARENTERALE;SKYRIZI*SC 1 penna preriempita 150 mg 1 ml;5330,79;3230,00;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;047821020;LYG;
Risankizumab;RISANKIZUMAB 150MG 1ML 1 UNITA' USO PARENTERALE;SKYRIZI*SC 1 siringa preriempita 150 mg 1 ml;5330,79;3230,00;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;047821032;LYG;
Risankizumab;RISANKIZUMAB 600MG 10ML 1 UNITA' USO PARENTERALE;SKYRIZI*EV 1 flaconcino 600 mg 10 ml 150 mg/ml;6396,95;3876,00;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;047821044;MPH;
Risankizumab;RISANKIZUMAB 360MG 2,4ML 1 UNITA' USO PARENTERALE;SKYRIZI*SC 1 cartuccia 360 mg 2,4 ml 150 mg/ml + 1 iniettore on-body;6396,95;3876,00;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;047821057;MPI;
Risdiplam;RISDIPLAM 60MG 0,75MG/ML SOLUZIONE USO ORALE;EVRYSDI*1 flaconcino orale polv 0,75 mg/ml + adattatore + 2 siringhe da 1 ml + 2 siringhe da 6 ml + 1 siringa da 12 ml;12340,39;7477,21;-;ROCHE REGISTRATION GMBH;049370012;LLY;
Risperidone;RISPERIDONE 25MG 2ML 1 UNITA' USO PARENTERALE;RISPERDAL*1 fiala IM 25 mg + 1 siringa 2 ml rilascio prolungato;157,41;95,38;-;JANSSEN CILAG SpA;028752172;BJF;
Risperidone;RISPERIDONE 25MG 2ML 1 UNITA' USO PARENTERALE;RISPERIDONE TEVA GROUP*1 flaconcino IM 25 mg polv + 1 adattatore per flaconcino + 1 siringa preriempita 2 ml solvente + 2 aghi;107,50;65,14;-;TEVA ITALIA Srl;049100011;BJF;
Risperidone;RISPERIDONE 37,5MG 2ML 1 UNITA' USO PARENTERALE;RISPERDAL*1 fiala IM 37,5 mg + 1 siringa 2 ml rilascio prolungato;203,11;123,06;-;JANSSEN CILAG SpA;028752184;BJG;
Risperidone;RISPERIDONE 37,5MG 2ML 1 UNITA' USO PARENTERALE;RISPERIDONE TEVA GROUP*1 flaconcino IM 37,5 mg polv + 1 adattatore per flaconcino + 1 siringa preriempita 2 ml solvente + 2 aghi;138,72;84,05;-;TEVA ITALIA Srl;049100047;BJG;
Risperidone;RISPERIDONE 50MG 2ML 1 UNITA' USO PARENTERALE;RISPERDAL*1 fiala IM 50 mg + 1 siringa 2 ml rilascio prolungato;253,88;153,83;-;JANSSEN CILAG SpA;028752196;BJH;
Risperidone;RISPERIDONE 50MG 2ML 1 UNITA' USO PARENTERALE;RISPERIDONE TEVA GROUP*1 flaconcino IM 50 mg polv + 1 adattatore per flaconcino + 1 siringa preriempita 2 ml solvente + 2 aghi;173,39;105,06;-;TEVA ITALIA Srl;049100074;BJH;
Risperidone;RISPERIDONE 75MG 0,383ML 1 UNITA' USO PARENTERALE RP;OKEDI*1 siringa polv IM 75 mg rilascio prolungato + 1 siringa 0,383 ml + 2 aghi;437,48;265,08;-;LABORATORIOS FARMACEUT.ROVI SA;049966017;MCM;
Risperidone;RISPERIDONE 100MG 0,49ML 1 UNITA' USO PARENTERALE RP;OKEDI*1 siringa polv IM 100 mg rilascio prolungato + 1 siringa 0,490 ml + 2 aghi;546,86;331,35;-;LABORATORIOS FARMACEUT.ROVI SA;049966029;MCN;
Ritonavir;RITONAVIR 100MG 30 UNITA' USO ORALE;NORVIR*30 cpr riv 100 mg flacone;35,60;21,57;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;030081057;BJI;
Ritonavir;RITONAVIR 100MG 30 UNITA' USO ORALE;NORVIR*orale polv 30 buste 100 mg + 2 siringhe + 1 bicchiere dosatore;35,60;21,57;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;030081095;BJI;
Ritonavir;RITONAVIR 100MG 30 UNITA' USO ORALE;RITONAVIR*30 cpr riv 100 mg flacone;24,92;15,10;-;SANDOZ SpA;043359013;BJI;
Ritonavir;RITONAVIR 100MG 30 UNITA' USO ORALE;RITONAVIR*30 cpr riv 100 mg flacone;24,92;15,10;-;VIATRIS LIMITED;045775018;BJI;
Rituximab;RITUXIMAB 100MG 10ML 2 UNITA' USO PARENTERALE;MABTHERA*2 flaconcini EV 100 mg 10 ml 10 mg/ml;826,96;501,06;-;ROCHE REGISTRATION GMBH;033315019;BJL;
Rituximab;RITUXIMAB 100MG 10ML 2 UNITA' USO PARENTERALE;RIXATHON*2 flaconcini EV 10 ml 10 mg/ml;661,56;400,84;-;SANDOZ GMBH;045450018;BJL;
Rituximab;RITUXIMAB 100MG 10ML 2 UNITA' USO PARENTERALE;TRUXIMA*2 flaconcini INFUS EV 100 mg 10 ml 10 mg/ml;661,56;400,84;-;CELLTRION HEALTHCARE HUNG.KFT;045266020;BJL;
Rituximab;RITUXIMAB 500MG 50ML 1 UNITA' USO PARENTERALE;MABTHERA*1 flaconcino EV 500 mg 50 ml 10 mg/ml;2066,99;1252,41;-;ROCHE REGISTRATION GMBH;033315021;BJM;
Rituximab;RITUXIMAB 500MG 50ML 1 UNITA' USO PARENTERALE;RIXATHON*1 flaconcino EV 50 ml 10 mg/ml;1653,59;1001,93;-;SANDOZ GMBH;045450032;BJM;
Rituximab;RITUXIMAB 500MG 50ML 1 UNITA' USO PARENTERALE;RUXIENCE*1 flaconcino EV 500 mg 50 ml 10 mg/ml;1653,59;1001,93;-;PFIZER EUROPE MA EEIG;048720027;BJM;
Rituximab;RITUXIMAB 500MG 50ML 1 UNITA' USO PARENTERALE;TRUXIMA*1 flaconcino INFUS EV 500 mg 50 ml 10 mg/ml;1653,59;1001,93;-;CELLTRION HEALTHCARE HUNG.KFT;045266018;BJM;
Rituximab;RITUXIMAB 1400MG 11,7ML 1 UNITA' USO PARENTERALE;MABTHERA*1 flaconcino SC 1.400 mg/11,7 ml;2630,24;1593,70;-;ROCHE REGISTRATION GMBH;033315033;GSS;
Rituximab;RITUXIMAB 100MG 10ML 1 UNITA' USO PARENTERALE;RUXIENCE*1 flaconcino EV 100 mg 10 ml 10 mg/ml;413,48;250,53;-;PFIZER EUROPE MA EEIG;048720015;LKF;
Rocuronio;ROCURONIO 100MG 10ML 10 UNITA' USO PARENTERALE;ESMERON*10 fiale EV 10 ml 10 mg/ml;191,95;87,25;-;MSD ITALIA Srl;029209044;BJN;
Rocuronio;ROCURONIO 100MG 10ML 10 UNITA' USO PARENTERALE;ROCURONIO BROMURO*10 fiale EV 10 ml 10 mg/ml;90,25;54,68;-;SALF SpA;041852094;BJN;
Rocuronio;ROCURONIO 100MG 10ML 10 UNITA' USO PARENTERALE;ROCURONIO BROMURO*10 flaconi EV 10 ml 10 mg/ml;101,08;61,25;-;SALF SpA;041852043;BJN;
Rocuronio;ROCURONIO 100MG 10ML 10 UNITA' USO PARENTERALE;ROCURONIO*iniett 10 flaconcini 100 mg 10 ml;112,31;68,05;-;FRESENIUS KABI ITALIA Srl;038603066;BJN;
Rocuronio;ROCURONIO 50MG 5ML 10 UNITA' USO PARENTERALE;ESMERON*10 flaconcini EV 5 ml 10 mg/ml;69,98;42,40;-;MSD ITALIA Srl;029209057;BJO;
Rocuronio;ROCURONIO 50MG 5ML 10 UNITA' USO PARENTERALE;ROCURONIO BROMURO*10 fiale EV 5 ml 10 mg/ml;45,13;27,35;-;SALF SpA;041852068;BJO;
Rocuronio;ROCURONIO 50MG 5ML 10 UNITA' USO PARENTERALE;ROCURONIO BROMURO*10 flaconi EV 5 ml 10 mg/ml;49,19;28,90;-;SALF SpA;041852017;BJO;
Rocuronio;ROCURONIO 50MG 5ML 10 UNITA' USO PARENTERALE;ROCURONIO*10 flaconi EV 50 mg 5 ml;54,58;33,07;-;HIKMA FARMACEUTICA S.A.;042577015;BJO;
Romiplostim;ROMIPLOSTIM 250MCG 0,72ML 1 UNITA' USO PARENTERALE;NPLATE*1 flaconcino 250 mcg polv + solv;897,42;543,76;-;AMGEN EUROPE B.V.;039002050;BJQ;
Romiplostim;ROMIPLOSTIM 500MCG 1,2ML 1 UNITA' USO PARENTERALE;NPLATE*1 flaconcino 500 mcg polv + solv;1794,84;1087,51;-;AMGEN EUROPE B.V.;039002074;BJT;
Ropeginterferone alfa 2b;ROPEGINTERFERONE ALFA 2B 250 MCG 1 UNITA' USO PARENTERALE;BESREMI*1 penna preriempita + 2 aghi 250 mcg/0,5 ml;3407,29;2064,52;-;AOP ORPHAN PHARMACEUTICALS AG;047624010;LVM;
Rucaparib;RUCAPARIB 200MG 60 UNITA' USO ORALE;RUBRACA*60 cpr riv 200 mg flacone;6849,98;4150,46;-;PHARMAAND GMBH;046645014;KYB;
Rucaparib;RUCAPARIB 250MG 60 UNITA' USO ORALE;RUBRACA*60 cpr riv 250 mg flacone;6849,98;4150,46;-;PHARMAAND GMBH;046645026;KYC;
Rucaparib;RUCAPARIB 300MG 60 UNITA' USO ORALE;RUBRACA*60 cpr riv 300 mg flacone;6849,98;4150,46;-;PHARMAAND GMBH;046645038;KYD;
Ruxolitinib;RUXOLITINIB 5MG 56 UNITA' USO ORALE;JAKAVI*56 cpr 5 mg;3283,77;1989,68;-;NOVARTIS EUROPHARM LTD;042226050;GTW;
Ruxolitinib;RUXOLITINIB 15MG 56 UNITA' USO ORALE;JAKAVI*56 cpr 15 mg;6567,54;3979,36;-;NOVARTIS EUROPHARM LTD;042226086;GYM;
Ruxolitinib;RUXOLITINIB 20MG 56 UNITA' USO ORALE;JAKAVI*56 cpr 20 mg;6567,54;3979,36;-;NOVARTIS EUROPHARM LTD;042226112;GYN;
Ruxolitinib;RUXOLITINIB 10MG 56 UNITA' USO ORALE;JAKAVI*56 cpr 10 mg;6567,54;3979,36;-;NOVARTIS EUROPHARM LTD;042226151;KEM;
Sacituzumab govitecan;SACITUZUMAB GOVITECAN 200MG 1 UNITA' USO PARENTERALE;TRODELVY*1 flaconcino polv EV 200 mg;1702,22;1031,40;-;GILEAD SCIENCES IRELAND UC;049780012;MAL;
Samario 153Sm Lexidronam Pentasodico;SAMARIO 153SM LEXIDRONAM 1,3GBQ/ML 1 UNITA' USO PARENTERALE;QUADRAMET*1 fiala EV 1,3 gbq/ml;-;411,81;-;CIS BIO INTERNATIONAL;033111016;BJU;
Sarilumab;SARILUMAB 150MG 2 UNITA' USO PARENTERALE;KEVZARA*SC 2 penne SC 1,14 ml 150 mg;1555,28;942,36;-;SANOFI WINTHROP INDUSTRIE;045491053;KJL;
Sarilumab;SARILUMAB 150MG 2 UNITA' USO PARENTERALE;KEVZARA*SC 2 siringhe SC 1,14 ml 150 mg;1555,28;942,36;-;SANOFI WINTHROP INDUSTRIE;045491014;KJL;
Sarilumab;SARILUMAB 200MG 2 UNITA' USO PARENTERALE;KEVZARA*SC 2 penne SC 1,14 ml 200 mg;1555,28;942,36;-;SANOFI WINTHROP INDUSTRIE;045491077;KJM;
Sarilumab;SARILUMAB 200MG 2 UNITA' USO PARENTERALE;KEVZARA*SC 2 siringhe SC 1,14 ml 200 mg;1555,28;942,36;-;SANOFI WINTHROP INDUSTRIE;045491038;KJM;
Satralizumab;SATRALIZUMAB 120MG 1ML 1 UNITA' USO PARENTERALE;ENSPRYNG*1 siringa preriempita SC 1 ml 120 mg/ml;12064,84;7310,25;-;ROCHE REGISTRATION GMBH;049613019;MFN;
Sebelipasi Alfa;SEBELIPASI ALFA 20MG 10ML 1 UNITA' USO PARENTERALE;KANUMA*1 flaconcino EV 10 ml 2 mg/ml;9781,60;5926,81;-;ALEXION EUROPE Sas;044493017;KHL;
Secukinumab;SECUKINUMAB 150MG 1ML 2 UNITA' USO PARENTERALE;COSENTYX*2 penne preriempite SC 150 mg 1 ml;1563,96;947,63;-;NOVARTIS EUROPHARM LTD;043873052;GZM;
Secukinumab;SECUKINUMAB 150MG 1ML 2 UNITA' USO PARENTERALE;COSENTYX*2 siringhe preriempite SC 150 mg 1 ml;1563,96;947,63;-;NOVARTIS EUROPHARM LTD;043873037;GZM;
Secukinumab;SECUKINUMAB 150MG 1ML 1 UNITA' USO PARENTERALE;COSENTYX*1 penna preriempita SC 150 mg 1 ml;781,98;473,81;-;NOVARTIS EUROPHARM LTD;043873049;JOC;
Secukinumab;SECUKINUMAB 150MG 1ML 1 UNITA' USO PARENTERALE;COSENTYX*1 siringa preriempita SC 150 mg 1 ml;781,98;473,81;-;NOVARTIS EUROPHARM LTD;043873025;JOC;
Secukinumab;SECUKINUMAB 300MG 2ML 1 UNITA' USO PARENTERALE;COSENTYX*1 penna preriempita SC 300 mg 2 ml 150 mg/ml;1563,96;947,63;-;NOVARTIS EUROPHARM LTD;043873102;LSI;
Secukinumab;SECUKINUMAB 300MG 2ML 1 UNITA' USO PARENTERALE;COSENTYX*1 siringa preriempita SC 300 mg 2 ml 150 mg/ml;1563,96;947,63;-;NOVARTIS EUROPHARM LTD;043873088;LSI;
Secukinumab;SECUKINUMAB 75MG 0,5ML 1 UNITA' USO PARENTERALE;COSENTYX*1 siringa preriempita SC 75 mg 0,5 ml 150 mg/ml;390,99;236,91;-;NOVARTIS EUROPHARM LTD;043873126;LYO;
Selpercatinib;SELPERCATINIB 40MG 56 UNITA' USO ORALE;RETSEVMO*56 cps 40 mg;3752,22;2273,50;-;ELI LILLY NEDERLAND BV;049358068;LXY;
Selpercatinib;SELPERCATINIB 80MG 56 UNITA' USO ORALE;RETSEVMO*56 cps 80 mg;7504,45;4547,01;-;ELI LILLY NEDERLAND BV;049358106;LXZ;
Selpercatinib;SELPERCATINIB 80MG 112 UNITA' USO ORALE;RETSEVMO*112 cps 80 mg;15008,89;9094,03;-;ELI LILLY NEDERLAND BV;049358118;LYH;
Selumetinib;SELUMETINIB 10MG 60 UNITA' USO ORALE;KOSELUGO*60 cps 10 mg flacone;7634,75;4626,00;-;ASTRAZENECA AB;049540014;MWF;
Selumetinib;SELUMETINIB 25MG 60 UNITA' USO ORALE;KOSELUGO*60 cps 25 mg flacone;19086,88;11565,00;-;ASTRAZENECA AB;049540026;MWG;
Setmelanotide;SETMELANOTIDE 10MG 1ML 1 UNITA' USO PARENTERALE;IMCIVREE*1 flacone SC 1 ml 10 mg/ml;4538,63;2750,00;-;RHYTHM PHARMACEUTICALS LTD;049605013;MFL;
Sevoflurano;SEVOFLURANO 100% 250ML 1 UNITA' USO INALATORIO;SEVOFLURANE*1 flacone 250 ml 100% in vetro con adattatore integrato;145,10;87,92;-;PIRAMAL CRITICAL CARE B.V.;041479039;BJW;
Sevoflurano;SEVOFLURANO 100% 250ML 1 UNITA' USO INALATORIO;SEVOFLURANE*1 flacone 250 ml 100% in vetro/pvc;145,10;87,92;-;PIRAMAL CRITICAL CARE B.V.;041479027;BJW;
Sevoflurano;SEVOFLURANO 100% 250ML 1 UNITA' USO INALATORIO;SEVORANE*1 flacone 250 ml gas inal quik;251,20;114,18;-;ABBVIE Srl;031841036;BJW;
Sevoflurano;SEVOFLURANO 100% 250ML 6 UNITA' USO INALATORIO;SEVOFLURANE*6 flaconi 250 ml 100% con valvola integrata;870,63;527,52;-;BAXTER SpA;037141037;BJX;
Sildenafil;SILDENAFIL 16MG 20ML 1 UNITA' USO PARENTERALE;REVATIO*1 flaconcino EV 20 ml 0,8 mg/ml;77,89;47,20;-;UPJOHN EESV;036982027;BJY;
Siltuximab;SILTUXIMAB 100MG 8ML 1 UNITA' USO PARENTERALE;SYLVANT*1 flaconcino polv soluz infus 100 mg;752,19;455,76;-;RECORDATI NETHERLANDS BV;043447010;IRJ;
Siltuximab;SILTUXIMAB 400MG 30ML 1 UNITA' USO PARENTERALE;SYLVANT*1 flaconcino polv soluz infus 400 mg;3008,75;1823,05;-;RECORDATI NETHERLANDS BV;043447022;IVK;
Sodio Cloruro/Potassio Acetato/Potassio Fosfato Bibasico/Magnesio Solfato Eptaidrato/Calcio Gluconato Monoidrato/Glucosio Monoidrato;ELETTROLITICA REIDRATANTE CON GLUCOSIO E CALCIO GLUCONATO 2.000ML 6 UNITA' USO PARENTERALE;ELETTROLITICA REIDRATANTE CON GLUCOSIO E CALCIO GLUCONATO*6 sacche EV 2.000 ml;47,07;21,39;-;FRESENIUS KABI ITALIA Srl;031379100;AMN;
Sodio ferrigluconato;SODIO FERRIGLUCONATO 177,5MG 5ML 5 UNITA' USO PARENTERALE O ORALE;FERLIXIT*5 fiale orale EV 62,5 mg 5 ml;6,50;3,93;-;SANOFI Srl;021455023;BKN;
Sodio fluoruro  ;SODIO FLUORURO (18F) 2,0 GBq/ml 25ML 1 UNITA' USO PARENTERALE;IASONFLUORIDE*1 flaconcino multid 2,0 GBq/ml;-;-;-;IASON GmbH;040986022;IAJ;
Sodio fluoruro  ;SODIO FLUORURO (18F) 2,0 GBq/ml 10ML 1 UNITA' USO PARENTERALE;SODIO FLUORURO 18F*1 flaconcino multidose 10 ml 2 GBq/ml;-;-;-;ITEL TELECOMUNICAZIONI Srl;047433014;LUV;
Sodio fosfato monobasico/sodio fosfato bibasico;SODIO FOSFATO MONOBASICO+SODIO FOSFATO BIBASICO 16+6% 120ML 25 UNITA' USO RETTALE;SODIO FOSFATO*25 flaconi 120 ml soluz rett;45,13;20,51;-;NEW FA.DEM. Srl;031052020;BKO;
Sodio ibandronato;SODIO IBANDRONATO 3MG 3ML 1 UNITA' USO PARENTERALE;ACIDO IBANDRONICO*1 siringa 3 mg 3 ml + 1 ago;83,02;50,30;-;ACCORD HEALTHCARE SLU;042505053;BKP;
Sodio ibandronato;SODIO IBANDRONATO 3MG 3ML 1 UNITA' USO PARENTERALE;BONVIVA*1 siringa preriempita EV 3 mg/3 ml;138,37;83,85;-;ATNAHS PHARMA NETHERLANDS BV;036899033;BKP;
Sodio ibandronato;SODIO IBANDRONATO 6MG 6ML 1 UNITA' USO PARENTERALE;BONDRONAT*1 flaconcino EV 6 mg/6 ml;384,28;232,85;-;ATNAHS PHARMA NETHERLANDS BV;036570036;BKQ;
Sodio oxibato;SODIO OXIBATO 17,5% 10ML 12 UNITA' USO ORALE;ALCOVER*orale soluz 12 flaconcini 10 ml 17,5%;32,39;14,72;-;C.T. LAB.FARMACEUTICO Srl;027751078;BKS;
Sodio oxibato;SODIO OXIBATO 17,5% 140ML USO ORALE;ALCOVER*orale soluz 140 ml 17,5%;33,60;15,27;-;C.T. LAB.FARMACEUTICO Srl;027751066;BKT;
Sodio valproato;ACIDO VALPROICO (SALE DI SODIO) 400MG 4ML 4 UNITA' USO PARENTERALE;DEPAKIN*4 flaconcini polv EV 400 mg + 4 fiale solv 4 ml;50,42;22,91;-;SANOFI Srl;022483061;ABY;
Somatorelina;SOMATORELINA 50MCG 1ML 1 UNITA' USO PARENTERALE;GHRH*1 fiala 50 mcg + 1 fiala solv 1 ml;84,09;38,22;-;FERRING SpA;027548015;BKU;
Somatostatina;SOMATOSTATINA 1MG 2ML 3 UNITA' USO PARENTERALE;SOMATOSTATINA*3 flaconcini EV 1 mg + 3 fiale solv 2 ml;14,90;6,77;-;HIKMA ITALIA SpA;034005049;BKV;
Somatostatina;SOMATOSTATINA 3MG 1 UNITA' USO PARENTERALE;RESURMIDE*1 fiala EV 3 mg;140,96;64,08;-;BENDALIS GMBH;029026010;BKY;
Somatostatina;SOMATOSTATINA 3MG 2ML 3 UNITA' USO PARENTERALE;SOMATOSTATINA*3 flaconcini EV 3 mg + 3 fiale solv 2 ml;128,35;58,35;-;HIKMA ITALIA SpA;034005064;BLA;
Sonidegib;SONIDEGIB 200MG 30 UNITA' USO ORALE;ODOMZO*30x1 cps 200 mg;11809,49;7155,53;-;SUN PHARMACEUTICAL IND.EU.B.V.;044480022;KTI;
Sorafenib;SORAFENIB 200MG 112 UNITA' USO ORALE;NEXAVAR*112 cpr riv 200 mg;5305,59;3214,71;-;BAYER AG;037154010;BLB;
Sorafenib;SORAFENIB 200MG 112 UNITA' USO ORALE;SORAFENIB*112 cpr riv 200 mg;3623,72;2195,66;-;TEVA ITALIA Srl;046076042;BLB;
Sorafenib;SORAFENIB 200MG 112 UNITA' USO ORALE;SORAFENIB*112 cpr riv 200 mg;3623,72;2195,66;-;MEDAC PHARMA Srl;047547017;BLB;
Sorafenib;SORAFENIB 200MG 112 UNITA' USO ORALE;SORAFENIB*112 cpr riv 200 mg;3623,72;2195,66;-;MYLAN SpA;048804013;BLB;
Sorafenib;SORAFENIB 200MG 112 UNITA' USO ORALE;SORAFENIB*112 cpr riv 200 mg;3623,72;2195,66;-;DR. REDDY'S Srl;048805016;BLB;
Sorafenib;SORAFENIB 200MG 112 UNITA' USO ORALE;SORAFENIB*112x1 cpr riv 200 mg;3623,72;2195,66;-;ZENTIVA ITALIA Srl;048803011;BLB;
Sorafenib;SORAFENIB 200MG 112 UNITA' USO ORALE;SORAFENIB*112x1 cpr riv 200 mg;3623,72;2195,66;-;EG SpA;048807046;BLB;
Sotorasib;SOTORASIB 120MG 240 UNITA' USO ORALE;LUMYKRAS*240 cpr riv 120 mg;10974,62;6649,62;-;AMGEN EUROPE B.V.;049858018;MLI;
Streptozocina;STREPTOZOCINA 1G 1 UNITA' USO PARENTERALE;STREPTOZOCINA*1 flacone EV 1.000 mg;1314,46;796,45;-;ESTEVE PHARMACEUTICALS S.A.S.;045123015;MOJ;
Sufentanil;SUFENTANIL 250MCG 5ML 5 UNITA' USO PARENTERALE;DISUFEN*5 fiale 5 ml 50 mcg/ml;36,20;21,94;-;ANGELINI SpA;036323032;BLI;
Sufentanil;SUFENTANIL 250MCG 5ML 5 UNITA' USO PARENTERALE;SUFENTANIL*5 fiale EV 250 mcg 5 ml;40,21;24,37;-;HAMELN PHARMA GmbH;035629029;BLI;
Sufentanil;SUFENTANIL 50MCG 1ML 5 UNITA' USO PARENTERALE;DISUFEN*5 fiale EV 1 ml 50 mcg/ml;7,37;4,47;-;ANGELINI SpA;036323018;BLJ;
Sufentanil;SUFENTANIL 50MCG 1ML 5 UNITA' USO PARENTERALE;SUFENTANIL*5 fiale EV 50 mcg 1 ml;8,20;4,97;-;HAMELN PHARMA GmbH;035629017;BLJ;
Sufentanil;SUFENTANIL 50MCG 1ML 5 UNITA' USO PARENTERALE;SUFENTANIL*EV 5 fiale 0,05 mg/ml 1 ml;7,37;4,47;-;PIRAMAL CRITICAL CARE IT.SpA;028347021;BLJ;
Sugammadex;SUGAMMADEX 200MG 2ML 10 UNITA' USO PARENTERALE;BRIDION*10 flaconcini EV 2 ml 100 mg/ml;1221,31;740,00;-;MERCK SHARP & DOHME BV;038801015;BLK;
Sugammadex;SUGAMMADEX 200MG 2ML 10 UNITA' USO PARENTERALE;SUGAMMADEX*10 flaconcini 2 ml 100 mg/ml;814,62;493,58;-;MYLAN IRELAND LIMITED;049787029;BLK;
Sugammadex;SUGAMMADEX 200MG 2ML 10 UNITA' USO PARENTERALE;SUGAMMADEX*10 flaconcini 2 ml 100 mg/ml;814,62;493,58;-;ORION CORPORATION;050504024;BLK;
Sugammadex;SUGAMMADEX 200MG 2ML 10 UNITA' USO PARENTERALE;SUGAMMADEX*10 flaconcini EV 2 ml 100 mg/ml;814,62;493,58;-;SUN PHARMACEUTICAL IND.EU.B.V.;048310015;BLK;
Sugammadex;SUGAMMADEX 200MG 2ML 10 UNITA' USO PARENTERALE;SUGAMMADEX*10 flaconcini EV 2 ml 100 mg/ml;814,62;493,58;-;SANDOZ SpA;049366014;BLK;
Sugammadex;SUGAMMADEX 200MG 2ML 10 UNITA' USO PARENTERALE;SUGAMMADEX*10 flaconcini EV 2 ml 100 mg/ml;814,62;493,58;-;DR. REDDY'S Srl;049608021;BLK;
Sugammadex;SUGAMMADEX 200MG 2ML 10 UNITA' USO PARENTERALE;SUGAMMADEX*10 flaconcini EV 2 ml 100 mg/ml;814,62;493,58;-;ZENTIVA ITALIA Srl;049671011;BLK;
